,cluster ID,size,mirai_ratio,Port17140,Port17132,Port17128,Port17130,Port17138,Port17136,Port17134,Port17142,Port80,Port8080,Port23,Port2323,Port81,Port5555,Port1023,Port52869,Port8443,Port49152,Port7574,Port37215,Port54594,Port34218,Port34226,Port34224,Port34228,Port34216,Port34220,Port33964,Port33960,Port33962,Port33970,Port33972,Port33968,Port50401,Port34222,Port34230,Port33966,Port33974,Port445,Port0,Port22,Port8291,Port8728,Port1433,Port8000,Port8081,Port5353,Port2004,Port11211,Port6881,Port8082,Port443,Port4000,Port5060,Port8083,Port8088,Port6379,Port30301,Port7001,Port9527,Port7002,Port9200,Port1027,Port3389,Port1900,Port21,Port5900,Port6380,Port88,Port389,Port8181,Port35,Port5000,Port5001,Port8008,Port4444,Port49153,Port137,Port7547,Port56880,Port5984,Port2222,Port8001,Port2480,Port8888,Port139,Port53,Port3544,Port873,Port50070,Port161,Port631,Port9000,Port4786,Port111,Port27017,Port1883,Port8090,Port554,Port3306
1,1.0,70321.0,0.0023748240212738726,0.0,0.03833847641529557,0.0,0.0,0.0,0.0,0.0,0.0,0.020136232419903016,0.004010181880234923,0.0,5.688201248560174e-05,0.0,0.0027872186117944855,0.0007110251560700217,0.001407829809018643,0.0011660812559548357,0.0009669942122552296,0.001180301759076236,0.0017349013808108532,0.0,0.004180827917691728,0.0,0.003768433327171115,0.0,0.0039248588615065205,0.0,0.0,0.0038110948365353164,0.0039248588615065205,0.0034271412522575047,0.0,0.0039106383583851195,5.688201248560174e-05,0.0024032650275166733,0.0019624294307532602,0.001862885908903457,0.0,0.0,0.0,0.005816185776652778,0.00015642553433540477,0.00021330754682100653,0.0,0.0035124642709859076,0.0009954352184980305,0.0008816711935268269,0.00031285106867080955,0.0004550560998848139,0.0021757369775742665,0.0004550560998848139,0.016268255570882097,0.0005688201248560174,0.00019908704369960608,0.00034129207491361046,0.0010523172309836323,0.0006968046529486214,0.00034129207491361046,0.0008958916966482274,0.0010238762247408314,0.0008674506904054266,0.0006968046529486214,0.0004123945905206126,0.0030574081711010935,0.00025596905618520784,0.001535814337111247,0.0025881315680948793,0.0005261586154918161,0.00034129207491361046,0.00034129207491361046,0.0005261586154918161,0.008304773822897854,0.00039817408739921216,0.00042661509364201307,0.00011376402497120348,0.00025596905618520784,7.110251560700217e-05,0.0007252456591914222,0.0002417485530638074,0.00038395358427781176,0.00035551257803501085,0.0037826538302925157,0.0029294236430084898,0.00042661509364201307,0.00130828628716884,0.0015926963495968486,0.0008958916966482274,0.007366220616885425,0.00032707157179221,0.00017064603745680523,0.0006968046529486214,0.0002844100624280087,0.0005972611310988183,0.0003697330811564113,0.0002844100624280087,0.00029863056554940915,0.00015642553433540477,0.00038395358427781176,0.0003697330811564113,0.0003697330811564113
2,2.0,659.0,0.0,0.9938837920489296,0.9923547400611621,0.9908256880733946,0.9938837920489296,0.9877675840978594,0.9892966360856269,0.9724770642201835,0.9740061162079511,0.0,0.0,0.0,0.0,0.0,0.0015290519877675841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3165137614678899,0.22629969418960244,0.308868501529052,1.0,0.9954128440366973,0.20030581039755352,0.28287461773700306,0.23547400611620795,0.9984709480122325,0.2308868501529052,0.2874617737003058,0.2400611620795107,0.0,0.12691131498470948,0.20795107033639143,0.1819571865443425,0.14678899082568808,0.0,0.0030581039755351682,0.0,0.0,0.0,0.0030581039755351682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015290519877675841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030581039755351682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,1458.0,0.0,0.9444444444444444,0.9437585733882029,0.9519890260631001,0.9375857338820301,0.9053497942386831,0.9286694101508915,0.816872427983539,0.0,0.0,0.0013717421124828531,0.0006858710562414266,0.0,0.0,0.0027434842249657062,0.0,0.0006858710562414266,0.0,0.0,0.0,0.0,0.0006858710562414266,0.9999999999999999,0.059670781893004114,0.07818930041152262,0.07133058984910837,0.07270233196159122,0.06241426611796982,0.08161865569272976,0.0644718792866941,0.06995884773662552,0.06584362139917695,0.040466392318244164,0.08299039780521261,0.0,0.03497942386831276,0.034293552812071325,0.03978052126200274,0.03840877914951989,0.0013717421124828531,0.0102880658436214,0.0006858710562414266,0.0,0.0,0.004801097393689986,0.0,0.0006858710562414266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006858710562414266,0.0006858710562414266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006858710562414266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,8678.0,0.0,1.0,0.22977644618575707,0.0,1.0,0.0,0.0,0.0,0.0,0.0006914035492048859,0.0012675731735422907,0.0010371053238073288,0.00011523392486748098,0.0,0.0008066374740723669,0.0,0.0,0.0,0.0,0.0,0.0,0.0021894445724821385,0.009218713989398478,0.008988246139663517,0.009564415764000921,0.01163862641161558,0.00806637474072367,0.00944918183913344,0.01163862641161558,0.0,0.011984328186218023,0.009910117538603365,0.01060152108780825,0.011984328186218023,0.0,0.006453099792578935,0.003917953445494353,0.005761696243374049,0.005415994468771606,0.0018437427978796957,0.003917953445494353,0.0005761696243374049,0.0,0.0,0.0012675731735422907,0.0,0.0,0.00011523392486748098,0.0,0.0,0.0,0.0,0.00011523392486748098,0.0,0.0,0.0,0.00034570177460244297,0.00034570177460244297,0.0,0.0,0.0,0.0,0.0,0.0,0.0011523392486748097,0.0,0.00034570177460244297,0.00023046784973496196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011523392486748098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011523392486748098,0.0,0.00023046784973496196,0.0004609356994699239,0.0,0.0,0.00011523392486748098,0.0,0.0,0.0,0.00023046784973496196,0.0,0.0,0.0,0.00034570177460244297,0.00034570177460244297
5,5.0,592.0,0.0,0.0,0.0016891891891891893,0.0,0.0033783783783783786,0.0033783783783783786,0.0016891891891891893,0.0,0.0016891891891891893,0.0016891891891891893,0.0033783783783783786,0.005067567567567568,0.0016891891891891893,0.0,0.0,0.0,0.0,0.0,0.0,0.0016891891891891893,0.0,0.060810810810810814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033783783783783786,0.0016891891891891893,1.0,0.006756756756756757,0.9662162162162162,0.9780405405405406,0.9797297297297298,0.0,0.0,0.0,0.0,0.0016891891891891893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016891891891891893,0.0,0.0,0.0,0.0,0.0,0.0016891891891891893,0.0,0.0,0.005067567567567568,0.0,0.0,0.0,0.0,0.0016891891891891893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016891891891891893,0.0,0.0,0.0,0.0,0.0,0.0,0.0016891891891891893,0.0016891891891891893,0.0,0.0,0.0,0.0016891891891891893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,11251.0,0.030930583948093504,0.0007110479068527242,0.00044440494178295264,0.0003555239534263621,0.00044440494178295264,0.0007110479068527242,0.0003555239534263621,0.00044440494178295264,0.0005332859301395432,0.9885343525019998,0.9630255088436583,0.0,0.0038218824993333927,0.04168518353924096,0.003555239534263621,0.0018665007554884011,0.002666429650697716,0.003999644476046574,0.003199715580837259,0.0031108345924806685,0.0036441205226202117,0.00017776197671318106,0.0,0.0,0.0,8.888098835659053e-05,0.0,8.888098835659053e-05,0.0,8.888098835659053e-05,0.0,8.888098835659053e-05,0.0,0.0,8.888098835659053e-05,0.0,0.0,0.0,8.888098835659053e-05,0.006399431161674518,0.0008888098835659053,0.0015998577904186295,0.0007110479068527242,0.0005332859301395432,0.002666429650697716,0.026308772553550797,0.011465647498000178,0.00017776197671318106,0.24628921873611237,0.0003555239534263621,0.00044440494178295264,0.00337747755755044,0.023109056972713538,0.0003555239534263621,0.0002666429650697716,0.002666429650697716,0.004088525464403164,0.0015998577904186295,0.00017776197671318106,0.00337747755755044,0.0008888098835659053,0.0015998577904186295,0.0011554528486356769,0.00017776197671318106,0.0008888098835659053,0.0002666429650697716,0.0007110479068527242,0.0014220958137054485,0.0012443338369922674,0.03519687138920985,0.0,0.0018665007554884011,8.888098835659053e-05,0.002488667673984535,0.0022220247089147632,8.888098835659053e-05,8.888098835659053e-05,0.0,8.888098835659053e-05,0.0002666429650697716,0.0,0.0014220958137054485,0.0002666429650697716,0.002044262732201582,0.0007999288952093148,0.005243978313038841,0.00017776197671318106,0.003199715580837259,8.888098835659053e-05,0.0,8.888098835659053e-05,0.00017776197671318106,8.888098835659053e-05,0.005777264243178384,8.888098835659053e-05,0.00017776197671318106,0.0,0.0,0.004532930406186117,8.888098835659053e-05,0.00017776197671318106
7,7.0,3453.0,0.0,0.9999999999999999,0.9999999999999999,0.9029829134086301,0.9999999999999999,0.8111786852012742,0.0,0.42108311613090066,0.9999999999999999,0.0008688097306689834,0.0008688097306689834,0.0008688097306689834,0.0002896032435563278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011584129742253113,0.027512308137851143,0.020272227048942947,0.05473501303214596,0.02780191138140747,0.02229944975383724,0.01708659136982334,0.02924992759918911,0.0,0.024616275702287863,0.017376194613379668,0.024616275702287863,0.019113814074717635,0.0,0.015348971908485375,0.029829134086301765,0.025774688676513176,0.029539530842745437,0.001448016217781639,0.004633651896901245,0.0,0.0,0.0,0.0008688097306689834,0.0,0.0,0.0,0.0,0.0,0.0002896032435563278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002896032435563278,0.0002896032435563278,0.0,0.0,0.0002896032435563278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002896032435563278,0.0,0.0,0.0,0.0,0.0,0.0,0.0002896032435563278,0.0,0.0002896032435563278,0.0005792064871126556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,917.0,0.0,0.9891186071817193,0.9869423286180631,0.9825897714907509,0.9956474428726877,0.9825897714907509,0.9825897714907509,0.9597388465723613,0.9488574537540806,0.0,0.0,0.001088139281828074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001088139281828074,0.1926006528835691,0.2089227421109902,0.19151251360174104,0.1926006528835691,0.22742110990206746,0.22089227421109903,0.16430903155603918,0.01958650707290533,0.16539717083786726,1.0,0.1969532100108814,0.2611534276387378,0.0,0.1458106637649619,0.12187159956474429,0.09902067464635474,1.0,0.0,0.00544069640914037,0.0,0.0,0.0,0.001088139281828074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001088139281828074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001088139281828074,0.001088139281828074,0.001088139281828074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,3198.0,0.0,0.09943714821763602,0.10318949343339587,0.0009380863039399625,0.00031269543464665416,0.09161976235146967,0.00031269543464665416,0.05315822388993121,0.05065666041275797,0.0034396497811131957,0.04534083802376485,0.00031269543464665416,0.0025015634771732333,0.0009380863039399625,0.023139462163852407,0.00031269543464665416,0.00031269543464665416,0.0,0.0006253908692933083,0.00031269543464665416,0.0012507817385866166,1.0,0.004377736085053158,0.0034396497811131957,0.0031269543464665416,0.0034396497811131957,0.00375234521575985,0.004065040650406504,0.0034396497811131957,0.0034396497811131957,0.0025015634771732333,0.002188868042526579,0.0025015634771732333,0.0028142589118198874,0.0,0.0034396497811131957,0.0025015634771732333,0.004065040650406504,0.00031269543464665416,0.0,0.00031269543464665416,0.002188868042526579,0.0009380863039399625,0.0012507817385866166,0.011569731081926203,0.0,0.0006253908692933083,0.01876172607879925,0.00031269543464665416,0.00031269543464665416,0.001876172607879925,0.0,0.0015634771732332708,0.0,0.00031269543464665416,0.00031269543464665416,0.0,0.00031269543464665416,0.0,0.0,0.00031269543464665416,0.00031269543464665416,0.0,0.00031269543464665416,0.0028142589118198874,0.0,0.017823639774859287,0.029080675422138838,0.0006253908692933083,0.0,0.0,0.0,0.0,0.00031269543464665416,0.00031269543464665416,0.0,0.0,0.00031269543464665416,0.016885553470919325,0.0,0.2682926829268293,0.00031269543464665416,0.0,0.00031269543464665416,0.0,0.0006253908692933083,0.0,0.00031269543464665416,0.0012507817385866166,0.0,0.0,0.00031269543464665416,0.0,0.0,0.0006253908692933083,0.0,0.0,0.0,0.0,0.0,0.0006253908692933083
10,10.0,2453.0,0.0,0.0028536485935589076,0.00040766408479412964,0.0008153281695882593,0.0,0.00040766408479412964,0.0,0.00040766408479412964,0.0,0.9869547492865879,0.977986139421117,0.6632694659600489,0.9633102323685283,0.0,0.8291887484712597,0.8940073379535263,0.8340807174887892,0.8128821850794945,1.0,0.8304117407256421,1.0,0.0028536485935589076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008153281695882593,0.0008153281695882593,0.0,0.0,0.0,0.0,0.0,0.0016306563391765185,0.0008153281695882593,0.0,0.00040766408479412964,0.00040766408479412964,0.0012229922543823889,0.0,0.0,0.0008153281695882593,0.0008153281695882593,0.0,0.0,0.0016306563391765185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
